filename,title,company_name,location,posted_date,applicants,salary,Python,SQL,SAS,C++,MSc,PhD,Cloud,AWS,Azure,Statistics,Computer Science,CS,consulting,Salary
file_141,Azure Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,
file_142,Data Scientist,bct resourcing,,22 hours ago,9 applicants,,False,True,False,False,False,False,True,False,False,False,False,False,True,
file_143,Junior Data Scientist,Jobs via eFinancialCareers,,2 weeks ago,,,False,False,False,False,False,False,False,False,False,False,True,False,True,
file_144,Data Scientist,Nigel Frank International,,1 month ago,9 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_145,Client Analytics Data Scientist,NatWest Markets Plc,,3 days ago,33 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_146,Data Scientist,Priceline,,1 day ago,,,True,True,False,False,False,True,False,True,False,True,True,False,False,
file_147,Azure Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,
file_148,Azure Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,
file_149,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_15,Data Scientist,STFC,,2 days ago,24 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,False,
file_150,Data Scientist - London,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_151,Data Scientist - Defence,BAE Systems Digital Intelligence,,1 week ago,22 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,True,
file_152,Senior Data Scientist,Boots UK,,1 week ago,67 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_153,Data Scientist,Pandora,,3 days ago,93 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,27000,
file_154,Statistical Data Scientist,Dstl,,2 weeks ago,36 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,True,
file_155,Data Scientist,SSE plc,,2 days ago,5 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_156,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_157,Data Scientist,SSE plc,,2 days ago,7 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_158,"Senior Data Scientist, Monzo Flex",Monzo Bank,,7 hours ago,24 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_159,Senior Data Scientist,Monzo Bank,,2 weeks ago,15 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_16,Data Scientist,DWP Digital,,4 days ago,47 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_160,Data Scientist,Primis,,2 weeks ago,159 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_161,Data Scientist,SSE plc,,2 days ago,15 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_162,Data Scientist,SSE plc,,2 days ago,8 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_163,Data Scientist,SSE plc,,2 days ago,6 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_164,Data Scientist,Hastings Direct,,2 weeks ago,,,True,True,False,False,True,False,False,False,False,False,False,False,False,
file_165,Data Scientist - Chase,JPMorgan Chase & Co.,,5 days ago,85 applicants,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_166,Data Scientist - Decision Science - Chase,JPMorgan Chase & Co.,,2 weeks ago,90 applicants,,True,True,False,False,True,True,False,True,True,True,False,False,False,
file_167,Data Scientist,Amazon,,1 week ago,,,True,True,False,False,False,True,False,False,False,True,True,False,False,
file_168,Data Scientist,SSE plc,,2 days ago,1 applicant,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_169,Senior Data Scientist,Hays,,1 week ago,7 applicants,,True,True,False,False,False,False,False,True,True,True,False,False,False,
file_17,Junior Data Scientist - Customer Value Management,RemoteWorker UK,,1 day ago,34 applicants,,True,True,True,False,False,False,False,False,False,False,False,False,False,
file_170,Data Scientist/Statistician - Derby,CareerAddict,,3 days ago,9 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,False,60000,
file_171,Senior Data Scientist,Direct Line Group,,3 days ago,5 applicants,,False,False,False,False,False,False,False,True,False,False,False,False,False,
file_172,Data Scientist,Office for National Statistics,,2 days ago,16 applicants,,True,False,False,False,False,False,False,False,False,True,False,True,False,
file_173,Data Scientist,Mosaic Smart Data,,1 week ago,83 applicants,,True,False,False,False,False,True,False,False,False,False,False,True,False,
file_174,Data Scientist,Oliver James,,5 days ago,103 applicants,,False,True,False,False,False,False,True,False,False,False,False,False,True,
file_175,Data Scientist – Machine Learning and Algorithms,Binance,,2 weeks ago,141 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,False,
file_176,Data Scientist - London,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_177,Senior Data Scientist,Deliveroo,,7 hours ago,167 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_178,"Data Scientist, Contextual Ads",Amazon,,2 weeks ago,184 applicants,,True,True,True,False,False,False,False,True,False,False,False,True,False,
file_179,Investigative Analytics Data Scientist (Deals Insights & Analytics),PwC UK,,7 hours ago,63 applicants,,True,True,False,False,False,False,False,False,True,False,False,False,False,
file_18,Data Scientist/Senior Data Scientist,UK Research and Innovation,,2 days ago,10 applicants,,True,False,False,True,False,True,False,False,False,False,False,False,False,
file_180,GBS Data Scientist,Centrica,,3 days ago,34 applicants,,True,False,False,False,False,False,True,False,True,False,False,False,False,
file_181,Senior Data Scientist (Experimentation) - Chase UK,JPMorgan Chase & Co.,,2 weeks ago,87 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_182,"Data Scientist, Security",Amazon,,1 week ago,92 applicants,,True,True,False,False,False,True,False,True,False,False,False,False,False,40000,
file_183,Senior Data Scientist (Machine Learning),Tesco,,2 weeks ago,68 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_184,Senior Data Scientist,Kainos,,3 weeks ago,21 applicants,,True,True,False,False,False,False,False,True,True,True,True,False,False,
file_185,Data Scientist,Evotec,,3 weeks ago,55 applicants,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_186,Data Scientist,Office for National Statistics,,2 days ago,19 applicants,,False,False,False,False,False,False,False,False,False,True,False,False,False,
file_187,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_188,Research Data Scientist,Meta,,7 hours ago,,,True,True,True,False,False,True,False,False,False,True,True,False,False,
file_189,Data Scientist,Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_19,Research Data Scientist,The Lubrizol Corporation,,3 weeks ago,66 applicants,,True,False,False,False,False,True,False,False,False,False,False,False,False,
file_190,Marketing Data Scientist,Harnham,,2 months ago,26 applicants,,True,True,False,False,True,True,False,False,False,False,False,False,False,60000,
file_191,Associate Data Scientist,Compass Lexecon,,3 weeks ago,147 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,True,
file_192,Lead Data Scientist,Harnham,,2 months ago,14 applicants,,True,True,True,False,False,False,False,False,False,False,False,False,False,65000,
file_193,Data Scientist - Nottingham - Remote,Nigel Frank International,,1 month ago,15 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,45000,
file_194,Data Scientist- Python | C# | SQL | Machine Learning,Jobs via eFinancialCareers,,2 weeks ago,44 applicants,,True,True,False,False,True,True,False,False,False,False,False,False,False,
file_195,Data Scientist - Cambridge,Nigel Frank International,,1 month ago,1 applicant,,True,True,False,False,False,False,True,False,True,False,False,False,False,65000,
file_196,Data Scientist,The Floow,,1 week ago,184 applicants,,True,False,False,False,False,False,False,False,False,True,True,False,False,
file_197,Lead Data Scientist,Barclays,,1 month ago,15 applicants,,False,False,False,False,True,True,False,True,False,True,True,False,False,
file_198,Data Scientist,Lloyds Banking Group,,3 days ago,,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_199,Data Scientist,Monte Carlo,,4 days ago,,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_2,Data Scientist,DWP Digital,,4 days ago,52 applicants,,True,True,False,False,False,False,False,False,False,True,True,False,False,
file_20,Data Scientist NLP Python,Client Server,,3 weeks ago,105 applicants,,True,False,False,False,False,False,False,False,True,False,False,False,False,
file_200,Data Scientist - Time Series Forecasting,Utopia Music,,3 days ago,35 applicants,,False,False,False,False,True,True,False,False,False,False,True,False,False,
file_201,Data Scientist - Cambridge,Nigel Frank International,,1 month ago,1 applicant,,True,True,False,False,False,False,True,False,True,False,False,False,False,90000,
file_202,Senior Data Scientist,Monzo Bank,,2 weeks ago,40 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_203,Data Scientist,Women in Data®,,1 week ago,116 applicants,,True,True,False,False,True,False,False,False,False,False,False,False,False,
file_204,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_205,Data Scientist,SSE plc,,2 days ago,10 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_206,Research Data Scientist,Meta,,7 hours ago,,,True,True,True,False,False,True,False,False,False,True,True,False,False,
file_207,Data Scientist,Greater Manchester Police,,1 day ago,13 applicants,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_208,Senior Data Scientist,Arm,,5 days ago,37 applicants,,True,False,False,False,False,True,True,True,False,True,False,False,False,
file_209,Data Scientist - Deep Learning,IQVIA,,2 weeks ago,194 applicants,,True,False,False,False,True,True,False,False,False,False,True,False,False,
file_21,Data Scientist - Retail - Midlands,Jobs via eFinancialCareers,,1 month ago,7 applicants,,False,False,False,False,False,False,False,False,True,False,False,False,False,
file_210,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_211,Senior Data Scientist,Mars,,3 days ago,24 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_212,Senior Data Scientist,Mars,,3 days ago,25 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_213,Data Scientist - VP - Chase,JPMorgan Chase & Co.,,1 week ago,90 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_214,Data Scientist,SSE plc,,2 days ago,4 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_215,Data Scientist,SSE plc,,2 days ago,6 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_216,Data Scientist,SSE plc,,2 days ago,15 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_217,"Data Scientist - West Midlands - GBP45,000",Nigel Frank International,,3 weeks ago,,,True,True,False,False,False,False,False,False,True,False,False,False,False,45000,
file_218,Data Scientist - Derby - Remote,Nigel Frank International,,1 month ago,6 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,45000,
file_219,Data Scientist – 6 months contract,Amazon,,2 weeks ago,,,True,True,True,False,False,True,False,False,False,True,True,False,False,
file_22,Remote Sensing Group Assistant Data Scientist Industrial Placement,UK Research and Innovation,,2 weeks ago,39 applicants,,True,False,False,True,False,False,False,False,False,False,False,False,False,
file_220,Data Scientist,UK Statistics Authority,,2 weeks ago,42 applicants,,True,False,False,False,False,False,True,True,False,True,False,True,False,
file_221,Senior Data Scientist,Direct Line Group,,3 days ago,3 applicants,,False,False,False,False,False,False,False,True,False,False,False,False,False,
file_222,Data Scientist,Assystem,,2 weeks ago,105 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_223,Senior Data Scientist,Somerset Bridge Group,,1 week ago,14 applicants,,True,True,True,False,False,False,False,False,False,False,False,False,False,
